date,taux_chomage_total_insee,taux_chomage_homme_insee,taux_chomage_femme_insee,taux_chomage_15_24_insee,taux_chomage_25_49_insee,taux_chomage_50_plus_insee,demandeur_total_abcd_total,demandeur_homme_abcd_total,demandeur_femme_abcd_total,demandeur_total_abcd_moins25,demandeur_total_abcd_2549,demandeur_total_abcd_plus50,demandeur_homme_abcd_moins25,demandeur_homme_abcd_2549,demandeur_homme_abcd_plus50,demandeur_femme_abcd_moins25,demandeur_femme_abcd_2549,demandeur_femme_abcd_plus50,population_active,pib,ict,nb_interimaires,taux_euribor_3m,mro,taux_change_eur_dollar,ipc,isj,ipc_energie_only,taux_chomage_ocde,nb_defaillances_entreprise,nb_offres_france_travail,indicateur_confiance_menage,indicateur_climat_affaires,indicateur_climat_emploi,indicateur_retournement_conjoncturel,population_active_var,nb_offres_france_travail_var,nb_defaillances_entreprise_var,nb_interimaires_var,pib_logdiff,pib_logdiff_lag,ipc_yoy,ipc_energie_only_yoy,ict_var,isj_diff,taux_chomage_total_insee_diff,taux_chomage_ocde_diff,indicateur_confiance_menage_zscore,indicateur_climat_affaires_zscore,indicateur_climat_emploi_zscore,indicateur_confiance_menage_diff,indicateur_climat_emploi_diff,indicateur_climat_affaires_diff,indicateur_climat_affaires_diff_lag,taux_euribor_3m_diff,mro_diff,taux_change_eur_dollar_var,is_covid
2002-10-01,7.9,7.3,8.7,18.3,7.2,5.0,3776000.0,1743900.0,2032100.0,648600.0,2544200.0,583200.0,316600.0,1146100.0,281200.0,332000.0,1398100.0,302000.0,28207162.75,503516.0,70.2,593362.363071408,3.1088,4.25,1.0092666666666668,2.1333333333333333,1.8666666666666665,2.3666666666666667,8.566666666666666,12543.0,642700.0,109.043497464627,99.5,95.8,-0.5,0.0047221078889072565,-0.18314692425012713,0.3081977471839801,-0.011629438887624355,0.0008682737892673487,0.004171054904663407,0.7,8.966666666666667,0.008620689655172598,-0.26666666666666683,0.0,-0.033333333333333215,0.9981430180866481,-0.08068888743770569,-0.45500065429803743,0.9952061561729977,-2.200000000000003,2.0999999999999943,-4.799999999999997,-0.24853333333333305,0.0,0.027208576468991774,0
2003-01-01,8.4,7.6,9.2,19.0,7.8,4.8,3833700.0,1783000.0,2050700.0,661600.0,2581400.0,590700.0,324800.0,1172800.0,285400.0,336800.0,1408600.0,305300.0,28339734.0,505079.0,70.4,589480.535952385,2.6830999999999996,4.25,1.0831,2.3666666666666667,1.7666666666666666,7.833333333333333,8.299999999999999,12813.0,744300.0,98.4121402372569,89.1,92.1,-1.0,0.0046999143861075066,0.1580830869768166,0.021525950729490484,-0.0065420851752874265,0.00309936347332318,0.0008682737892673487,0.20000000000000018,10.766666666666666,0.002849002849002913,-0.09999999999999987,0.5,-0.2666666666666675,-0.05607360943534215,-1.171299698148066,-0.8445714624408204,-10.631357227370088,-3.700000000000003,-10.400000000000006,2.0999999999999943,-0.4257000000000004,0.0,0.07315542638219164,0
2003-04-01,8.5,7.7,9.4,20.3,7.8,5.1,3866600.0,1807500.0,2059100.0,660500.0,2611400.0,594700.0,324800.0,1194600.0,288100.0,335700.0,1416800.0,306600.0,28383092.5,502793.0,70.9,584771.319446013,2.3619,4.25,1.146,1.9333333333333333,1.6333333333333335,0.8666666666666667,8.5,11435.0,790900.0,101.507858618651,92.5,93.3,-0.8,0.0015299543743070299,0.06260916297191987,-0.10754702255521731,-0.007988756573215294,-0.004536298101559311,0.00309936347332318,0.2999999999999998,4.633333333333333,0.007102272727272707,-0.13333333333333308,0.09999999999999964,0.20000000000000107,0.2509010996252461,-0.8147538561850631,-0.7182241733134311,3.095718381394093,1.2000000000000028,3.4000000000000057,-10.400000000000006,-0.3211999999999997,0.0,0.05807404671775451,0
2003-07-01,8.4,7.8,9.1,19.8,7.6,5.3,3914300.0,1830200.0,2084100.0,666800.0,2649700.0,597800.0,327300.0,1213400.0,289500.0,339500.0,1436300.0,308300.0,28426451.0,508251.0,71.5,587064.817218,2.1392333333333333,4.25,1.1299,1.9666666666666668,1.4666666666666668,1.4000000000000001,8.466666666666667,10006.0,782200.0,100.665081926346,95.2,95.5,1.0,0.0015276171897053992,-0.011000126438234892,-0.124967205946655,0.0039220421654053705,0.01079686545959646,-0.004536298101559311,0.20000000000000018,3.5666666666666664,0.008462623413258097,-0.16666666666666674,-0.09999999999999964,-0.033333333333333215,0.16733047140587126,-0.5316145110967964,-0.4865874765798844,-0.8427766923049944,2.200000000000003,2.700000000000003,3.4000000000000057,-0.22266666666666657,0.0,-0.014048865619546214,0
2003-10-01,8.8,8.1,9.5,21.1,7.9,5.5,3966200.0,1859700.0,2106500.0,686100.0,2679000.0,601100.0,337600.0,1231600.0,290500.0,348500.0,1447400.0,310600.0,28469809.5,510007.0,71.9,603342.678749741,2.1496333333333335,4.25,1.2082,2.1666666666666665,1.6666666666666667,-0.06666666666666667,8.833333333333334,12962.0,655200.0,100.098470878782,99.8,98.4,1.0,0.0015252871348589991,-0.16236256711838404,0.2954227463521888,0.027727537154890625,0.0034490310721935202,0.01079686545959646,0.033333333333333215,-2.4333333333333336,0.005594405594405716,0.19999999999999996,0.40000000000000036,0.36666666666666714,0.11114472062121855,-0.04922896020567639,-0.18124819452202712,-0.5666110475640096,2.9000000000000057,4.599999999999994,2.700000000000003,0.010400000000000187,0.0,0.0692981679794673,0
2004-01-01,9.0,8.1,10.0,21.6,8.1,5.7,3938900.0,1842000.0,2096900.0,685100.0,2657800.0,596000.0,335500.0,1220700.0,285800.0,349600.0,1437100.0,310200.0,28513168.0,515573.0,72.8,594162.852029446,2.0629666666666666,4.25,1.2342,1.8,1.6000000000000003,-2.6333333333333333,8.9,13160.0,782600.0,101.293373538424,102.5,102.0,1.0,0.001522964177192776,0.19444444444444442,0.015275420459805567,-0.015214946735274237,0.010854452404171155,0.0034490310721935202,-0.5666666666666667,-10.466666666666667,0.012517385257301727,-0.06666666666666643,0.1999999999999993,0.06666666666666643,0.22963253220766733,0.23391038488259036,0.19779367286013919,1.1949026596420111,3.5999999999999943,2.700000000000003,4.599999999999994,-0.08666666666666689,0.0,0.021519615957622973,0
2004-04-01,8.8,8.1,9.5,21.5,7.9,5.4,3979500.0,1861200.0,2118300.0,692200.0,2688300.0,599000.0,338800.0,1236300.0,286100.0,353400.0,1452000.0,312900.0,28592152.5,517795.0,73.4,597101.996274864,2.0824666666666665,4.25,1.21,2.4,1.6000000000000003,5.266666666666667,8.8,12018.0,862200.0,100.834532983572,102.9,101.5,0.9,0.002770106078707313,0.10171224124712497,-0.0867781155015197,0.004946698090227075,0.004300507514340524,0.010854452404171155,0.46666666666666656,4.4,0.008241758241758435,0.0,-0.1999999999999993,-0.09999999999999964,0.1841334174698912,0.27585695452529707,0.14514896905706046,-0.4588405548520029,-0.5,0.4000000000000057,2.700000000000003,0.01949999999999985,0.0,-0.019607843137254943,0
2004-07-01,8.8,8.2,9.6,21.9,8.0,5.1,4029400.0,1886500.0,2142900.0,700700.0,2723200.0,605500.0,342200.0,1255900.0,288400.0,358500.0,1467300.0,317100.0,28671137.0,519644.0,74.1,602740.394172607,2.1163000000000003,4.25,1.2186333333333332,2.3000000000000003,1.7,6.833333333333333,8.866666666666667,10014.0,803700.0,103.650149350574,104.7,101.7,0.8,0.0027624537886750122,-0.06784968684759918,-0.16674987518721918,0.009442939284945107,0.003564550701844027,0.004300507514340524,0.3333333333333335,5.433333333333333,0.009536784741144277,0.09999999999999964,0.0,0.06666666666666643,0.4633329145176289,0.46461651791747444,0.16620685057829226,2.8156163670019936,0.20000000000000284,1.7999999999999972,0.4000000000000057,0.033833333333333826,0.0,0.007134986225895368,0
2004-10-01,8.9,8.3,9.6,21.8,8.1,5.2,4066600.0,1903300.0,2163300.0,708700.0,2746300.0,611600.0,346200.0,1266800.0,290300.0,362500.0,1479500.0,321300.0,28750121.5,524260.0,74.6,618876.606121245,2.1636,4.25,1.3217666666666668,2.1,1.3333333333333333,10.733333333333334,8.933333333333334,13165.0,693800.0,100.53448735824,104.9,102.9,0.9,0.002754843660368156,-0.13674256563394305,0.31465947673257433,0.026771412874672995,0.008843782734235361,0.003564550701844027,-0.06666666666666643,10.8,0.006747638326585648,-0.3666666666666667,0.09999999999999964,0.06666666666666643,0.1543805759017522,0.4855898027388278,0.2925541397056815,-3.1156619923339974,1.2000000000000028,0.20000000000000284,1.7999999999999972,0.0472999999999999,0.0,0.08463032358653155,0
2005-01-01,8.6,8.2,9.2,21.5,7.9,5.0,4085300.0,1910300.0,2175000.0,713500.0,2756900.0,614900.0,348100.0,1271800.0,290400.0,365400.0,1485100.0,324500.0,28829106.0,525885.0,75.1,619352.446858464,2.140333333333333,4.25,1.3085333333333333,1.7,1.1333333333333333,8.766666666666666,8.633333333333333,13559.0,819600.0,98.9909645953899,104.5,105.8,0.8,0.002747275346297151,0.18132026520611122,0.029927838966957943,0.0007688782101513691,0.0030948131867560846,0.008843782734235361,-0.10000000000000009,11.399999999999999,0.006702412868632601,-0.19999999999999996,-0.3000000000000007,-0.3000000000000007,0.0013232261434290922,0.4436432330961211,0.5978934217635373,-1.5435227628501025,2.8999999999999915,-0.4000000000000057,0.20000000000000284,-0.023266666666667213,0.0,-0.010011852823241685,0
